"","results.parameter","results.city","results.country","results.coordinates.latitude","results.coordinates.longitude","units","valuemax","valuemean"
"66","pm25","Huangshan","CN",30.2756,118.1371,"micrograms per cubic meter",120,28.0430769230769
"67","pm25","HUMBOLDT","US",40.715279,-124.201393,"micrograms per cubic meter",47.4,4.34544491525424
"68","pm25","Illes Balears","ES",39.6776599994721,2.68665,"micrograms per cubic meter",33,8.58448275862069
"69","pm25","Jawor","PL",51.049212,16.202317,"micrograms per cubic meter",113.789,22.0813426
"70","pm25","KAY","US",36.697189,-97.081278,"micrograms per cubic meter",25.9,8.47332242225859
"71","pm25","Klaipeda","LT",55.6899999995005,21.17946,"micrograms per cubic meter",36.95,13.9125433526012
"72","pm25","Latina","IT",41.531431,12.946064,"micrograms per cubic meter",31,12.4176470588235
"73","pm25","Limburg","BE",50.7117060941316,5.10315860945395,"micrograms per cubic meter",16.5,5.08333333333333
"74","pm25","Loni_Dehat","IN",28.757294,77.278792,"micrograms per cubic meter",318,66.4762979683973
"75","pm25","Ma'anshan","CN",31.6861,118.5058,"micrograms per cubic meter",85,38.7219512195122
"76","pm25","Maule","CL",-35.435725588722,-71.619553864003,"micrograms per cubic meter",22,6.18181818181818
"77","pm25","Mogilno","PL",52.656842,17.949565,"micrograms per cubic meter",310.4,29.1747
"78","pm25","Namur","BE",50.095683,4.594763,"micrograms per cubic meter",10.605608,4.65504165454545
"79","pm25","Namur","BE",50.274478,5.235169,"micrograms per cubic meter",13.410875,7.59254341111111
"80","pm25","Namur","BE",50.5027163414413,4.98842295409252,"micrograms per cubic meter",24.631943,10.5276840166667
"81","pm25","NEZ PERCE","US",46.3349,-116.535797,"micrograms per cubic meter",22.3,3.41386138613861
"82","pm25","Northern Savonia","FI",62.893599999565,27.66952,"micrograms per cubic meter",20.9,2.65273279352227
"83","pm25","NOWATA","US",36.918242,-95.632127,"micrograms per cubic meter",37.3,7.78038922155689
"84","pm25","OTTAWA","US",36.804669,-94.725024,"micrograms per cubic meter",20.2,4.60549450549451
"85","pm25","Palencia","ES",42.7036099994648,-4.82722,"micrograms per cubic meter",4,1.65217391304348
"86","pm25","PARK","US",44.52612,-109.016733,"micrograms per cubic meter",6,2.1
"87","pm25","PONCE","US",18.009556,-66.62725,"micrograms per cubic meter",63.7,22.6544662309368
"88","pm25","Rieti","IT",42.404093,12.858224,"micrograms per cubic meter",52,15.8881118881119
"89","pm25","Rieti","IT",42.572593,12.961982,"micrograms per cubic meter",24,7.44137931034483
"90","pm25","Saarland","DE",49.233464,6.987601,"micrograms per cubic meter",20.57,6.10806451612903
"91","pm25","SACRAMENTO","US",38.61086,-122.868819,"micrograms per cubic meter",26,7.8
"92","pm25","SACRAMENTO","US",38.610871,-122.868841,"micrograms per cubic meter",19,9.27272727272727
"93","pm25","SACRAMENTO","US",38.610882,-122.868841,"micrograms per cubic meter",15,7.54545454545455
"94","pm25","SACRAMENTO","US",38.610892,-122.868927,"micrograms per cubic meter",24,7.5
"95","pm25","SACRAMENTO","US",38.610892,-122.868862,"micrograms per cubic meter",5,3
"96","pm25","SACRAMENTO","US",38.610892,-122.868841,"micrograms per cubic meter",30,8.4
"97","pm25","SACRAMENTO","US",38.610903,-122.868884,"micrograms per cubic meter",20,8.55
"98","pm25","SACRAMENTO","US",38.610903,-122.868862,"micrograms per cubic meter",20,9.4
"99","pm25","SACRAMENTO","US",38.610903,-122.868841,"micrograms per cubic meter",18,7.89473684210526
"100","pm25","SACRAMENTO","US",38.610914,-122.868948,"micrograms per cubic meter",21,9.77777777777778
"101","pm25","SACRAMENTO","US",38.610914,-122.868884,"micrograms per cubic meter",62,20.1612903225806
"102","pm25","SACRAMENTO","US",38.610914,-122.868862,"micrograms per cubic meter",25,8.89473684210526
"103","pm25","SACRAMENTO","US",38.610914,-122.868841,"micrograms per cubic meter",61,16.219512195122
"104","pm25","SACRAMENTO","US",38.610914,-122.868819,"micrograms per cubic meter",23,9.16666666666667
"105","pm25","SACRAMENTO","US",38.610924,-122.868905,"micrograms per cubic meter",35,8.66666666666667
