"","results.parameter","results.city","results.country","results.coordinates.latitude","results.coordinates.longitude","units","valuemax","valuemean","tally"
"1","pm25"," Alwar","IN",27.554793,76.611536,"micrograms per cubic meter",42.46,39.25625,8
"2","pm25","Aberdeen","GB",57.15736,-2.094278,"micrograms per cubic meter",4,2.60344827586207,116
"3","pm25","Aberdeen","US",46.9772,-123.8317,"micrograms per cubic meter",174,74.1571428571429,84
"4","pm25","Aberdeen","US",47.339802,-124.291801,"micrograms per cubic meter",200.7,69.0222222222222,72
"5","pm25","Abu Dhabi","AE",24.424399,54.433746,"micrograms per cubic meter",73,46.0086206896552,116
"6","pm25","ADA","US",43.647888,-116.269409,"micrograms per cubic meter",44,14.6516853932584,89
"7","pm25","ADAIR","US",35.750599,-94.669701,"micrograms per cubic meter",31.3,8.43033707865169,89
"8","pm25","ADAMS","US",47.127998,-118.381897,"micrograms per cubic meter",226.5,47.2132530120482,83
"9","pm25","Addis Ababa","ET",9.058498,38.761642,"micrograms per cubic meter",186,31.9655172413793,116
"10","pm25","Adelaide","AU",-34.9438035,138.549098,"micrograms per cubic meter",10,4.00892857142857,112
"11","pm25","Adelaide","AU",-34.92889,138.6010841,"micrograms per cubic meter",12.2,5.69545454545455,44
"12","pm25","Adelaide","AU",-34.79128,138.4978642,"micrograms per cubic meter",8,4.40909090909091,22
"13","pm25","Adrian","US",41.995602,-83.946701,"micrograms per cubic meter",27.4,7.75480769230769,104
"14","pm25","Agra","IN",27.19865833,78.00598056,"micrograms per cubic meter",106,88.5,8
"15","pm25","Ahmedabad","IN",23.002657,72.591912,"micrograms per cubic meter",108.19,42.0975,8
"16","pm25","Ain","FR",46.2116413286108,5.22638933985453,"micrograms per cubic meter",9.9,5.83130434782609,115
"17","pm25","Aisne","FR",49.8428234743806,3.28143793505452,"micrograms per cubic meter",25.1,11.7139130434783,115
"18","pm25","Aizawl","IN",23.7176342,92.7192841,"micrograms per cubic meter",10,4.57894736842105,19
"19","pm25","Ajmer","IN",26.470859,74.646594,"micrograms per cubic meter",38.5,29.3875,8
"20","pm25","Akron","US",41.063526,-81.468956,"micrograms per cubic meter",27.5,11.795145631068,103
"21","pm25","ALAMEDA","US",37.864767,-122.302741,"micrograms per cubic meter",204,80.0752688172043,93
"22","pm25","Albany-Lebanon","US",44.3958,-122.7305,"micrograms per cubic meter",503.7,242.820289855072,69
"23","pm25","Albany-Lebanon","US",44.61569,-123.091457,"micrograms per cubic meter",552.2,209.396551724138,58
"24","pm25","Albany-Schenectady-Troy","US",42.6425,-73.7547,"micrograms per cubic meter",16.3,8.44583333333333,72
"25","pm25","ALBERTA","CA",49.7164,-112.8006,"micrograms per cubic meter",18.1,5.23965517241379,58
"26","pm25","ALBERTA","CA",50.0492,-110.6814,"micrograms per cubic meter",12,3.98103448275862,58
"27","pm25","ALBERTA","CA",51.047611,-114.075165,"micrograms per cubic meter",21.9,6.77407407407407,54
"28","pm25","ALBERTA","CA",51.0814,-114.1403,"micrograms per cubic meter",15,4.82280701754386,57
"29","pm25","ALBERTA","CA",51.95,-114.7,"micrograms per cubic meter",8.8,3.85454545454545,44
"30","pm25","ALBERTA","CA",52.2989,-113.7942,"micrograms per cubic meter",14,4.81206896551724,58
"31","pm25","ALBERTA","CA",53.1325,-117.09111,"micrograms per cubic meter",5.2,2.06666666666667,57
"32","pm25","ALBERTA","CA",53.37,-115.1906,"micrograms per cubic meter",10.1,4.58648648648649,37
"33","pm25","ALBERTA","CA",53.5028,-113.6111,"micrograms per cubic meter",17.2,4.99285714285714,56
"34","pm25","ALBERTA","CA",53.5453,-113.4992,"micrograms per cubic meter",10.9,5.02075471698113,53
"35","pm25","ALBERTA","CA",53.5472,-113.3681,"micrograms per cubic meter",8.3,5.1448275862069,58
"36","pm25","ALBERTA","CA",53.564411,-113.562583,"micrograms per cubic meter",11.6,4.488,50
"37","pm25","ALBERTA","CA",53.6825,-112.8686,"micrograms per cubic meter",6.8,4.28888888888889,18
"38","pm25","ALBERTA","CA",53.6989,-113.2233,"micrograms per cubic meter",9.4,5.88771929824561,57
"39","pm25","ALBERTA","CA",53.800117,-112.927795,"micrograms per cubic meter",12.9,5.11111111111111,18
"40","pm25","ALBERTA","CA",55.1964,-119.3967,"micrograms per cubic meter",8,3.71063829787234,47
"41","pm25","ALBERTA","CA",56.7328,-111.39,"micrograms per cubic meter",9.6,3.32631578947368,57
"42","pm25","ALBERTA","CA",56.7522,-111.4761,"micrograms per cubic meter",9.3,3.08541666666667,48
"43","pm25","ALBERTA","CA",57.1889,-111.6406,"micrograms per cubic meter",6.2,3.37272727272727,55
"44","pm25","ALBERTA","CA",58.7083,-111.1764,"micrograms per cubic meter",4.2,1.53617021276596,47
"45","pm25","Albuquerque","US",35.0186,-106.651901,"micrograms per cubic meter",103.5,15.8525252525253,99
"46","pm25","Albuquerque","US",35.1353,-106.584702,"micrograms per cubic meter",61.6,9.486,100
"47","pm25","Albuquerque","US",35.1441,-106.6044,"micrograms per cubic meter",16.7,10.2617647058824,34
"48","pm25","Albuquerque","US",35.185,-106.5077,"micrograms per cubic meter",71.1,14.7134615384615,52
"49","pm25","Albuquerque","US",35.187801,-106.603897,"micrograms per cubic meter",69.9,13.9405940594059,101
"50","pm25","Algiers","DZ",36.7558,3.039114,"micrograms per cubic meter",26,14.8771929824561,114
"51","pm25","Allegan","US",42.767799,-86.148598,"micrograms per cubic meter",11.9,3.43168316831683,101
"52","pm25","Allentown-Bethlehem-Easton","US",40.6119,-75.4325,"micrograms per cubic meter",12.3,5.49134615384615,104
"53","pm25","Allentown-Bethlehem-Easton","US",40.6281,-75.3411,"micrograms per cubic meter",12.1,5.48653846153846,104
"54","pm25","Allier","FR",46.6526446514876,3.60066325441923,"micrograms per cubic meter",6,3.45652173913043,115
"55","pm25","Alpes-de-Haute-Provence","FR",43.8353015894571,5.78583314934565,"micrograms per cubic meter",11.7,7.18695652173913,115
"56","pm25","Alpes-de-Haute-Provence","FR",43.9335199525261,5.71170417210011,"micrograms per cubic meter",14,6.94385964912281,114
"57","pm25","Alpes-Maritimes","FR",43.6892619053736,7.24208307327896,"micrograms per cubic meter",20.8,8.97889908256881,109
"58","pm25","Alpes-Maritimes","FR",43.7020570445023,7.28626221895196,"micrograms per cubic meter",19,9.40260869565217,115
"59","pm25","Alto Hospicio","CL",-20.290466881209,-70.100192427636,"micrograms per cubic meter",26,10.98,100
"60","pm25","Altoona","US",40.515,-78.3889,"micrograms per cubic meter",11.5,6.55145631067961,103
"61","pm25","Amaravati","IN",16.5150833,80.5181667,"micrograms per cubic meter",20,14.75,8
"62","pm25","Ambala ","IN",30.379589,76.778328,"micrograms per cubic meter",65.6,45.7590909090909,22
"63","pm25","Amritsar","IN",31.62,74.876512,"micrograms per cubic meter",67.73,39.3525,16
"64","pm25","Amsterdam","NL",52.358,4.8997,"micrograms per cubic meter",25.5,10.4238095238095,63
"65","pm25","Amsterdam","NL",52.3597,4.86621,"micrograms per cubic meter",39.8,8.67460317460317,63
"66","pm25","Amsterdam","NL",52.3813,4.84523,"micrograms per cubic meter",18.2,7.74666666666667,60
"67","pm25","Amsterdam","NL",52.39,4.88781,"micrograms per cubic meter",20.7,9.03015873015873,63
"68","pm25","Amsterdam","NL",52.394,4.87016,"micrograms per cubic meter",18.4,9.02857142857143,63
"69","pm25","Amsterdam","NL",52.3984,4.72858,"micrograms per cubic meter",17.2,7.53965517241379,58
"70","pm25","Amsterdam","NL",52.428,4.77348,"micrograms per cubic meter",23.1,7.90731707317073,41
"71","pm25","Anchorage","US",61.205861,-149.8246,"micrograms per cubic meter",28,4.39325842696629,89
"72","pm25","Ancona","IT",43.46806,12.95222,"micrograms per cubic meter",30.5,10.5914634146341,82
"73","pm25","Ancona","IT",43.59889,13.34194,"micrograms per cubic meter",27.8,9.56951219512195,82
"74","pm25","Ancona","IT",43.61167,13.50861,"micrograms per cubic meter",18.9,12.0802631578947,76
"75","pm25","Ancona","IT",43.63333,13.3875,"micrograms per cubic meter",19.4,9.32560975609756,82
"76","pm25","Anderson","US",40.125557,-85.652222,"micrograms per cubic meter",20.7,10.410101010101,99
"77","pm25","Ankleshwar","IN",21.613267,73.010555,"micrograms per cubic meter",456.3,58.6925,28
"78","pm25","Ann Arbor","US",42.24,-83.5997,"micrograms per cubic meter",34.7,9.16914893617021,94
"79","pm25","Anqing","CN",30.5103,117.0549,"micrograms per cubic meter",167,60.3267716535433,254
"80","pm25","Anqing","CN",30.51197222,117.0331111,"micrograms per cubic meter",211,66.4426877470356,253
"81","pm25","Anqing","CN",30.6145,116.9894,"micrograms per cubic meter",136,54.9130434782609,253
"82","pm25","Anqing","CN",NA,NA,"micrograms per cubic meter",112,52.0041841004184,239
"83","pm25","Antofagasta","CL",-23.61354215815,-70.383315682411,"micrograms per cubic meter",23,9.00961538461539,104
"84","pm25","Antwerpen","BE",51.0920000379014,4.38010354488249,"micrograms per cubic meter",16.5,9,5
"85","pm25","Antwerpen","BE",51.1702980388321,4.34100506456284,"micrograms per cubic meter",18.5,9.9,5
"86","pm25","Antwerpen","BE",51.1771308881904,4.41794863777773,"micrograms per cubic meter",15.5,9,5
"87","pm25","Antwerpen","BE",51.2082294722138,4.42155925106527,"micrograms per cubic meter",19.5,10.4,5
"88","pm25","Antwerpen","BE",51.20951873198,4.43179223079244,"micrograms per cubic meter",20,11,5
"89","pm25","Antwerpen","BE",51.209663,4.431821,"micrograms per cubic meter",22.5,12.2,5
"90","pm25","Antwerpen","BE",51.2286298134603,4.42845417753557,"micrograms per cubic meter",17.5,9.7,5
"91","pm25","Antwerpen","BE",51.2336522065588,5.16397884633176,"micrograms per cubic meter",15.5,8.6,5
"92","pm25","Antwerpen","BE",51.252103,4.491362,"micrograms per cubic meter",13,8.2,5
"93","pm25","Antwerpen","BE",51.2609897078635,4.42439900693533,"micrograms per cubic meter",21.5,11.2,5
"94","pm25","Antwerpen","BE",51.3139288945411,4.40386813974961,"micrograms per cubic meter",14.5,9.2,5
"95","pm25","Antwerpen","BE",51.3487952923282,4.33970994711987,"micrograms per cubic meter",13.5,7.5,5
"96","pm25","Appleton","US",44.3069,-88.3956,"micrograms per cubic meter",9,3.15714285714286,91
"97","pm25","Ardennes","FR",49.9077785386149,4.62999782272758,"micrograms per cubic meter",6.8,3.331,100
"98","pm25","Ardmore","US",34.256901,-97.474197,"micrograms per cubic meter",19.5,8.2,103
"99","pm25","Arica","CL",-18.47683929771,-70.287911433372,"micrograms per cubic meter",23.62,11.7588679245283,106
"100","pm25","AROOSTOOK","US",46.682299,-68.016195,"micrograms per cubic meter",6,3,39
"101","pm25","AROOSTOOK","US",46.6964,-68.033096,"micrograms per cubic meter",7.3,3.96132075471698,106
"102","pm25","AROOSTOOK","US",47.3553,-68.3211,"micrograms per cubic meter",21,3.46428571428571,56
"103","pm25","Asansol","IN",23.685297,86.945968,"micrograms per cubic meter",43.19,21.7375,8
"104","pm25","Asheville","US",35.6062,-82.5844,"micrograms per cubic meter",12,4.87386363636364,88
"105","pm25","ASHLAND","US",46.6144,-90.6986,"micrograms per cubic meter",5.8,3.07254901960784,51
"106","pm25","ASOTIN","US",46.425598,-117.059799,"micrograms per cubic meter",62.9,28.3483516483516,91
"107","pm25","Astana","KZ",51.125286,71.46722,"micrograms per cubic meter",842,18.7006802721088,882
"108","pm25","Asturias","ES",43.1787999994641,-6.5527,"micrograms per cubic meter",11,6.05,20
"109","pm25","Asturias","ES",43.294116999464,-5.679632,"micrograms per cubic meter",17,6.46341463414634,41
"110","pm25","Asturias","ES",43.306656999464,-5.689716,"micrograms per cubic meter",16,8.47222222222222,36
"111","pm25","Asturias","ES",43.3665299994639,-5.83303,"micrograms per cubic meter",14,6.73170731707317,41
"112","pm25","Asturias","ES",43.3726749994639,-5.872797,"micrograms per cubic meter",13,4.89189189189189,37
"113","pm25","Asturias","ES",43.4015009994639,-5.80287,"micrograms per cubic meter",78,9.43243243243243,37
"114","pm25","Asturias","ES",43.5165879994638,-5.67065,"micrograms per cubic meter",21,6.88888888888889,36
"115","pm25","Asturias","ES",43.5228999994638,-5.689452,"micrograms per cubic meter",11,5.51351351351351,37
"116","pm25","Asturias","ES",43.5298619994638,-5.673498,"micrograms per cubic meter",23,9.27777777777778,36
"117","pm25","Asturias","ES",43.5388629994638,-5.698921,"micrograms per cubic meter",20,6.61363636363636,44
"118","pm25","Asturias","ES",43.5518999994638,-5.918,"micrograms per cubic meter",18,8.51162790697674,43
"119","pm25","Asturias","ES",43.5704499994637,-5.95828,"micrograms per cubic meter",20,6.04878048780488,41
"120","pm25","Athens-Clarke County","US",33.925,-83.3575,"micrograms per cubic meter",11.4,5.2320987654321,81
"121","pm25","Athens","US",35.4511,-84.5992,"micrograms per cubic meter",18,6.92753623188406,69
"122","pm25","Atlanta-Sandy Springs-Marietta","US",33.4347,-84.1617,"micrograms per cubic meter",15.6,5.447,100
"123","pm25","Atlanta-Sandy Springs-Marietta","US",33.6906,-84.2731,"micrograms per cubic meter",13.2,7.05242718446602,103
"124","pm25","Atlanta-Sandy Springs-Marietta","US",33.7206,-84.3578,"micrograms per cubic meter",17.4,9.00961538461539,104
"125","pm25","Atlanta-Sandy Springs-Marietta","US",33.778315,-84.391418,"micrograms per cubic meter",11.5,6.45294117647059,85
"126","pm25","Atlanta-Sandy Springs-Marietta","US",33.9636,-84.0664,"micrograms per cubic meter",9.8,5.43789473684211,95
"127","pm25","Atlantic City","US",39.46487,-74.448738,"micrograms per cubic meter",19.9,5.2953125,64
"128","pm25","Attard","MT",35.8900179994896,14.434464,"micrograms per cubic meter",25.633,13.0660782608696,115
"129","pm25","Aube","FR",48.2949796949513,4.05027903727389,"micrograms per cubic meter",13.6,6.57678571428571,112
"130","pm25","Auchencorth","GB",55.79216,-3.2429,"micrograms per cubic meter",6,3.12068965517241,116
"131","pm25","Augusta-Richmond County","US",33.4333,-82.0219,"micrograms per cubic meter",17.3,8.75428571428571,105
"132","pm25","Augusta-Richmond County","US",33.7397,-81.8536,"micrograms per cubic meter",9,5.70824742268041,97
"133","pm25","Aurangabad","IN",19.8389439,75.244448,"micrograms per cubic meter",31.57,19.5978260869565,23
"134","pm25","Aveiro","PT",40.756667,-8.572778,"micrograms per cubic meter",24,9.67924528301887,106
"135","pm25","Badhoevedorp","NL",52.334,4.77401,"micrograms per cubic meter",47.5,9.01269841269841,63
"136","pm25","Baghpat","IN",28.974801,77.213357,"micrograms per cubic meter",89,57.7727272727273,22
"137","pm25","Bahadurgarh ","IN",28.6701,76.9254,"micrograms per cubic meter",104.9,62.8809523809524,21
"138","pm25","BAJA CALIFORNIA NORTE","MX",32.6336,-115.5042,"micrograms per cubic meter",97,26.5729166666667,96
"139","pm25","BAKER","US",44.78822,-117.8446,"micrograms per cubic meter",83.7,21.5659340659341,91
"140","pm25","Bakersfield","US",35.356615,-119.062613,"micrograms per cubic meter",98,37.3163265306122,98
"141","pm25","Ballabgarh","IN",28.3419248,77.319699,"micrograms per cubic meter",254.69,92.5853571428571,28
"142","pm25","Baltimore-Towson","US",39.2981,-76.604698,"micrograms per cubic meter",9,3.96428571428571,84
"143","pm25","Baltimore-Towson","US",39.41,-76.2967,"micrograms per cubic meter",10,3.49350649350649,77
"144","pm25","Baltimore-Towson","US",39.462002,-76.631599,"micrograms per cubic meter",13,5.41052631578947,95
"145","pm25","BANNOCK","US",42.589833,-112.458889,"micrograms per cubic meter",137.8,11.9569301260023,873
"146","pm25","Baraboo","US",43.4356,-89.6803,"micrograms per cubic meter",10.2,3.32941176470588,102
"147","pm25","Baranya","HU",46.0802764894636,18.21112251,"micrograms per cubic meter",25.63691,13.3313927570175,114
"148","pm25","Barbosa","CO",6.4369602,-75.3303986,"micrograms per cubic meter",38.7386,9.9911852631579,114
"149","pm25","Bari","IT",41.107778,16.766111,"micrograms per cubic meter",38.53,16.934375,112
"150","pm25","Barnstaple","GB",51.074793,-4.041924,"micrograms per cubic meter",7,5,116
"151","pm25","Bas-Rhin","FR",48.4930125168175,7.12980264591687,"micrograms per cubic meter",9.3,3.80892857142857,112
"152","pm25","Basel-Landschaft","CH",47.5410842894654,7.5832696,"micrograms per cubic meter",23.1536,10.2390612068966,116
"153","pm25","Bathinda ","IN",30.233011,74.907758,"micrograms per cubic meter",166.22,36.5184615384615,13
"154","pm25","Baton Rouge","US",30.315,-90.8114,"micrograms per cubic meter",19.8,10.5462264150943,106
"155","pm25","Baton Rouge","US",30.4622,-91.1769,"micrograms per cubic meter",19.9,7.1960396039604,101
"156","pm25","Bay City","US",43.5714,-83.8908,"micrograms per cubic meter",5.9,2.22727272727273,55
"157","pm25","BAYAMON","US",18.41923,-66.15042,"micrograms per cubic meter",54.9,13.486875,320
"158","pm25","Bayern","DE",47.557473,9.688869,"micrograms per cubic meter",18.04,12.1355555555556,9
"159","pm25","Bayern","DE",47.648459,12.188324,"micrograms per cubic meter",13.84,9.44666666666667,9
"160","pm25","Bayern","DE",47.72514,10.306561,"micrograms per cubic meter",18.62,11,9
"161","pm25","Bayern","DE",47.968753,11.220172,"micrograms per cubic meter",17.04,10.49,9
"162","pm25","Bayern","DE",48.021657,12.538174,"micrograms per cubic meter",14.19,10.02,9
"163","pm25","Bayern","DE",48.137252,11.564924,"micrograms per cubic meter",15.79,12.07,9
"164","pm25","Bayern","DE",48.149606,11.536513,"micrograms per cubic meter",23.21,16.3766666666667,9
"165","pm25","Bayern","DE",48.154534,11.554669,"micrograms per cubic meter",22.4,14.9888888888889,9
"166","pm25","Bayern","DE",48.173194,11.648036,"micrograms per cubic meter",16.72,13.0255555555556,9
"167","pm25","Bayern","DE",48.177175,12.829314,"micrograms per cubic meter",19.22,12.1333333333333,9
"168","pm25","Bayern","DE",48.182835,12.781387,"micrograms per cubic meter",14.31,8.15888888888889,9
"169","pm25","Bayern","DE",48.326013,10.903051,"micrograms per cubic meter",35.54,13.5722222222222,9
"170","pm25","Bayern","DE",48.376576,10.88837,"micrograms per cubic meter",23.88,14.4144444444444,9
"171","pm25","Bayern","DE",48.397079,10.008293,"micrograms per cubic meter",12.07,9.41111111111111,9
"172","pm25","Bayern","DE",48.573629,13.422039,"micrograms per cubic meter",14.24,9.67777777777778,9
"173","pm25","Bayern","DE",48.769444,11.428766,"micrograms per cubic meter",21,10.7211111111111,9
"174","pm25","Bayern","DE",48.853211,11.777818,"micrograms per cubic meter",13.13,9.39444444444444,9
"175","pm25","Bayern","DE",48.909518,11.879245,"micrograms per cubic meter",10.05,7.23111111111111,9
"176","pm25","Bayern","DE",48.95218,10.59772,"micrograms per cubic meter",12.14,9.32777777777778,9
"177","pm25","Bayern","DE",49.304889,10.572297,"micrograms per cubic meter",15.16,11.0588888888889,9
"178","pm25","Bayern","DE",49.321955,12.128139,"micrograms per cubic meter",15.02,12.3777777777778,9
"179","pm25","Bayern","DE",49.438464,12.548869,"micrograms per cubic meter",15.76,11.2277777777778,9
"180","pm25","Bayern","DE",49.44406,10.325,"micrograms per cubic meter",12.55,7.42777777777778,9
"181","pm25","Bayern","DE",49.44591,11.088444,"micrograms per cubic meter",19.55,10.6555555555556,9
"182","pm25","Bayern","DE",49.462229,11.0248,"micrograms per cubic meter",24.3,15.0722222222222,9
"183","pm25","Bayern","DE",49.67895,12.159361,"micrograms per cubic meter",12.61,11.3622222222222,9
"184","pm25","Bayern","DE",49.804695,9.95642,"micrograms per cubic meter",11.32,8.27666666666667,9
"185","pm25","Bayern","DE",49.869422,9.171544,"micrograms per cubic meter",10.93,7.98555555555556,9
"186","pm25","Bayern","DE",49.89833,10.887686,"micrograms per cubic meter",12.28,8.16222222222222,9
"187","pm25","Bayern","DE",49.991518,9.117973,"micrograms per cubic meter",4.16,3.01333333333333,9
"188","pm25","Bayern","DE",50.058195,12.18865,"micrograms per cubic meter",10.67,7.87222222222222,9
"189","pm25","Bayern","DE",50.260578,10.959312,"micrograms per cubic meter",14.9,8.92333333333333,9
"190","pm25","BECKER","US",46.8511,-95.8467,"micrograms per cubic meter",9,2.66037735849057,53
"191","pm25","Beijing","CN",39.95,116.47,"micrograms per cubic meter",23,7.02752293577982,109
"192","pm25","Belfast","GB",54.59965,-5.928833,"micrograms per cubic meter",9,5.31034482758621,116
"193","pm25","Bellingham","US",48.950699,-122.554398,"micrograms per cubic meter",181.7,47.0426829268293,82
"194","pm25","Bello","CO",6.3375502,-75.5678024,"micrograms per cubic meter",36.1724,12.8408584821429,112
"195","pm25","BELTRAMI","US",47.878159,-95.029172,"micrograms per cubic meter",9,4.05660377358491,53
"196","pm25","Bend","US",44.063916,-121.312554,"micrograms per cubic meter",549.2,159.59756097561,82
"197","pm25","Bend","US",44.275,-121.1905,"micrograms per cubic meter",242,35.9833333333333,72
"198","pm25","BENEWAH","US",47.3167,-116.570297,"micrograms per cubic meter",37,14.0125,80
"199","pm25","BENEWAH","US",47.3386,-116.885902,"micrograms per cubic meter",117,18.1075268817204,93
"200","pm25","Bengaluru","IN",12.9135218,77.5950804,"micrograms per cubic meter",23.15,22.339,10
"201","pm25","Bengaluru","IN",12.917348,77.622813,"micrograms per cubic meter",27,17.6470588235294,17
"202","pm25","Bengaluru","IN",12.920984,77.584908,"micrograms per cubic meter",20,13.3333333333333,18
"203","pm25","Bengaluru","IN",12.9352049,77.6814488,"micrograms per cubic meter",31.06,14.1375471698113,53
"204","pm25","Bengaluru","IN",12.938539,77.5901,"micrograms per cubic meter",23,12.6666666666667,21
"205","pm25","Bengaluru","IN",12.951913,77.539784,"micrograms per cubic meter",262,33.6470588235294,17
"206","pm25","Bengaluru","IN",13.0270199,77.494094,"micrograms per cubic meter",49.06,20.0073846153846,65
"207","pm25","Bengaluru","IN",13.029152,77.585901,"micrograms per cubic meter",16,8.57142857142857,21
"208","pm25","Bengbu","CN",32.8913,117.4186,"micrograms per cubic meter",124,43.9341317365269,167
"209","pm25","Bengbu","CN",32.8985,117.3065,"micrograms per cubic meter",144,47.1616766467066,167
"210","pm25","Bengbu","CN",32.935,117.3086,"micrograms per cubic meter",167,59.311377245509,167
"211","pm25","Bengbu","CN",32.939,117.3961,"micrograms per cubic meter",183,51.4670658682635,167
"212","pm25","Bengbu","CN",32.9444,117.3575,"micrograms per cubic meter",144,49.0119760479042,167
"213","pm25","Bengbu","CN",32.9673,117.3536,"micrograms per cubic meter",126,47.8363636363636,165
"214","pm25","Bennington","US",42.887501,-73.249702,"micrograms per cubic meter",8.5,4.79117647058824,102
"215","pm25","Bergen","NO",60.294268,5.324619,"micrograms per cubic meter",11.591272,5.43184073394495,109
"216","pm25","Bergen","NO",60.361135,5.23686,"micrograms per cubic meter",11.582586,5.55556828440367,109
"217","pm25","Bergen","NO",60.37408,5.34042,"micrograms per cubic meter",13.530244,5.40973220183486,109
"218","pm25","Bergen","NO",60.395929,5.312674,"micrograms per cubic meter",11.779031,5.36553743119266,109
"219","pm25","Bergen","NO",60.462665,5.332447,"micrograms per cubic meter",10.637556,4.52192393577982,109
"220","pm25","BERKSHIRE","US",42.453035,-73.238776,"micrograms per cubic meter",19,6.84,75
"221","pm25","BERKSHIRE","US",42.702223,-73.110414,"micrograms per cubic meter",14,5.27536231884058,69
"222","pm25","Bern","CH",46.9510019036189,7.44087126250177,"micrograms per cubic meter",31.7847,12.2975120689655,116
"223","pm25","Beverwijk West","NL",52.4893,4.64053,"micrograms per cubic meter",13.3,7.38709677419355,62
"224","pm25","Bhiwadi","IN",28.194909,76.862296,"micrograms per cubic meter",201.63,108.828571428571,7
"225","pm25","Bhiwani","IN",28.806223,76.141105,"micrograms per cubic meter",141.7,24.8857142857143,21
"226","pm25","Bhopal","IN",23.233584,77.400574,"micrograms per cubic meter",50,26.2619047619048,42
"227","pm25","Biest Houtakker","NL",51.5184,5.14845,"micrograms per cubic meter",34.5916,10.0327623076923,78
"228","pm25","Birmingham-Hoover","US",33.3311,-87.0036,"micrograms per cubic meter",36.1,9.76944444444444,108
"229","pm25","Birmingham-Hoover","US",33.4997,-86.9242,"micrograms per cubic meter",19.3,11.0128440366972,109
"230","pm25","Birmingham-Hoover","US",33.5453,-86.5492,"micrograms per cubic meter",17.8,10.1847619047619,105
"231","pm25","Birmingham-Hoover","US",33.565278,-86.796389,"micrograms per cubic meter",46.8,11.4304761904762,105
"232","pm25","Birmingham-Hoover","US",33.8017,-86.9425,"micrograms per cubic meter",18.4,7.30934579439252,107
"233","pm25","Birmingham","GB",52.437165,-1.829999,"micrograms per cubic meter",8,4.85585585585586,111
"234","pm25","Bishkek","KG",42.8273,74.5833,"micrograms per cubic meter",34,10.3173076923077,104
"235","pm25","Bishop","US",36.4878,-117.871,"micrograms per cubic meter",460,47.4820754716981,106
"236","pm25","Bishop","US",37.360701,-118.330835,"micrograms per cubic meter",496.4,43.3185185185185,108
"237","pm25","Biskupiec","PL",53.860702,20.957892,"micrograms per cubic meter",46.5388,9.16040103773585,106
"238","pm25","Bitola Municipality","MK",41.0302799994681,21.33667,"micrograms per cubic meter",36.47,17.1194827586207,116
"239","pm25","Bizkaia","ES",43.1722222194642,-2.63583333,"micrograms per cubic meter",18,8.30188679245283,53
"240","pm25","Bizkaia","ES",43.2130555494641,-3.13444444,"micrograms per cubic meter",13,7.375,40
"241","pm25","Bizkaia","ES",43.2549999994641,-2.90222222,"micrograms per cubic meter",27,14.2222222222222,45
"242","pm25","Bizkaia","ES",43.2611111094641,-2.94472222,"micrograms per cubic meter",21,12.1739130434783,46
"243","pm25","Bizkaia","ES",43.2674999994641,-2.91833333,"micrograms per cubic meter",24,13.6111111111111,54
"244","pm25","Bizkaia","ES",43.298333329464,-2.93027777,"micrograms per cubic meter",30,13.6,45
"245","pm25","Bizkaia","ES",43.299166659464,-2.98722222,"micrograms per cubic meter",21,14.0185185185185,54
"246","pm25","Bizkaia","ES",43.302777769464,-2.97722222,"micrograms per cubic meter",23,12.9090909090909,44
"247","pm25","Bizkaia","ES",43.4061111094639,-2.70388888,"micrograms per cubic meter",23,9.55555555555556,45
"248","pm25","Blackpool","GB",53.80489,-3.007175,"micrograms per cubic meter",9,6.52586206896552,116
"249","pm25","BLAINE","US",43.682556,-114.371094,"micrograms per cubic meter",29,9.21,100
"250","pm25","Bloomington-Normal","US",40.5169,-88.9975,"micrograms per cubic meter",19.3,8.11309523809524,84
"251","pm25","Bogota","CO",4.637735,-74.09486,"micrograms per cubic meter",41,15.2456140350877,114
"252","pm25","Boise City-Nampa","US",43.58031,-116.562676,"micrograms per cubic meter",53,15.7380952380952,84
"253","pm25","Boise City-Nampa","US",43.600699,-116.347853,"micrograms per cubic meter",39,12.6436781609195,87
"254","pm25","BOISE","US",43.823017,-115.838557,"micrograms per cubic meter",93,13.7692307692308,104
"255","pm25","BOISE","US",44.104498,-115.972386,"micrograms per cubic meter",73,17.8651685393258,89
"256","pm25","BOLIVAR","US",33.750833,-90.734167,"micrograms per cubic meter",37.1,13.0699029126214,103
"257","pm25","BONNER","US",48.291821,-116.556557,"micrograms per cubic meter",61,11.5833333333333,84
"258","pm25","Borsukowizna","PL",53.215492,23.642153,"micrograms per cubic meter",10.8,3.78727272727273,110
"259","pm25","Boston-Cambridge-Quincy","US",42.329399,-71.082497,"micrograms per cubic meter",16,5.10126582278481,79
"260","pm25","Boston-Cambridge-Quincy","US",42.474701,-70.971901,"micrograms per cubic meter",7,3.16981132075472,53
"261","pm25","Boston-Cambridge-Quincy","US",42.7708,-71.1028,"micrograms per cubic meter",12,5.81012658227848,79
"262","pm25","Boston-Cambridge-Quincy","US",43.075371,-70.748017,"micrograms per cubic meter",9.2,4.75,102
"263","pm25","Boulder","US",40.0128,-105.2667,"micrograms per cubic meter",17.4,5.79692307692308,65
"264","pm25","Boulder","US",40.164585,-105.100861,"micrograms per cubic meter",25.1,9.47647058823529,85
